label,start_year,end_year
1967-68,1967,2068
1968-69,1968,2069
1969-70,1969,2070
1970-71,1970,2071
1971-72,1971,2072
1972-73,1972,2073
1973-74,1973,2074
1974-75,1974,2075
1975-76,1975,2076
1976-77,1976,2077
1977-78,1977,2078
1978-79,1978,2079
1979-80,1979,2080
1980-81,1980,2081
1981-82,1981,2082
1982-83,1982,2083
1983-84,1983,2084
1984-85,1984,2085
1985-86,1985,2086
1986-87,1986,2087
1987-88,1987,2088
1988-89,1988,2089
1989-90,1989,2090
1990-91,1990,2091
1991-92,1991,2092
1992-93,1992,2093
1993-94,1993,2094
1994-95,1994,2095
1995-96,1995,2096
1996-97,1996,2097
1997-98,1997,2098
1998-99,1998,2099
1999-00,1999,2000
2000-01,2000,2001
2001-02,2001,2002
2002-03,2002,2003
2003-04,2003,2004
2004-05,2004,2005
2005-06,2005,2006
2006-07,2006,2007
2007-08,2007,2008
2008-09,2008,2009
2009-10,2009,2010
2010-11,2010,2011
2011-12,2011,2012
2012-13,2012,2013
2013-14,2013,2014
2014-15,2014,2015
2015-16,2015,2016
2016-17,2016,2017
2017-18,2017,2018
2018-19,2018,2019
2019-20,2019,2020
2020-21,2020,2021
2021-22,2021,2022
2022-23,2022,2023
2023-24,2023,2024
2024-25,2024,2025
2025-26,2025,2026
