financial_year,tme_bn
1967-68,18.3
1968-69,19.3
1969-70,20.3
1970-71,22.7
1971-72,25.2
1972-73,28.5
1973-74,33.4
1974-75,43.9
1975-76,56.1
1976-77,64.1
1977-78,70.2
1978-79,79.7
1979-80,95.3
1980-81,114.7
1981-82,127.9
1982-83,141.4
1983-84,153.2
1984-85,163.9
1985-86,171.3
1986-87,179.0
1987-88,190.1
1988-89,197.2
1989-90,218.8
1990-91,237.7
1991-92,263.4
1992-93,283.3
1993-94,296.1
1994-95,308.5
1995-96,322.8
1996-97,328.4
1997-98,344.4
1998-99,355.1
1999-00,367.7
2000-01,390.8
2001-02,418.7
2002-03,454.0
2003-04,495.3
2004-05,535.9
2005-06,566.5
2006-07,594.0
2007-08,631.3
2008-09,688.4
2009-10,723.1
2010-11,744.2
2011-12,745.5
2012-13,760.0
2013-14,766.6
2014-15,788.2
2015-16,795.9
2016-17,813.2
2017-18,840.3
2018-19,857.6
2019-20,888.7
2020-21,1107.2
2021-22,1043.7
2022-23,1161.0
2023-24,1229.0
2024-25,1285.2
2025-26,1347.2
